"district_name","ITN_Type","max_effect","min_effect","median_effect","mean_effect","max_percent","min_percent","median_percent","mean_percent"
"Bunyangabu District","ITN4",1.61,0.63,1.09,1.11,37.82,-58.22,8.18,9.54
"Bushenyi District","ITN2",1.3,0.91,1.05,1.06,23.31,-9.74,4.57,5.38
"Bushenyi District","ITN3",1.32,0.97,1.13,1.14,24.29,-13.67,3.19,4.13
"Bushenyi District","ITN4",2.21,0.93,1.37,1.4,54.67,-7.13,27.23,28.74
"Busia District","ITN2",1.2,0.98,1.09,1.09,16.75,-1.62,7.9,8.63
"Busia District","ITN3",1.1,0.98,1.11,1.12,9,-6.74,1.33,1.96
"Busia District","ITN4",1.51,0.96,1.22,1.24,33.99,-3.63,18.21,19.67
"Butambala District","ITN2",1.24,1,1.13,1.12,19.12,-0.38,11.78,10.45
"Butambala District","ITN3",1.74,1,1.26,1.23,42.49,23.07,35.53,34.23
"Butambala District","ITN4",1.63,0.98,1.35,1.31,38.63,-1.56,26.11,23.55
"Butebo District","ITN2",5.27,1.09,2.24,2.43,81.03,8.39,55.34,58.82
"Butebo District","ITN3",1.13,0.93,0.98,0.98,11.64,-46.48,-23.07,-20.08
"Butebo District","ITN4",1.84,0.44,0.81,0.88,45.74,-129.64,-23,-14.07
"Buvuma District","ITN2",1.21,0.87,1.1,1.1,17.36,-14.76,9.16,9.48
"Buvuma District","ITN3",1.08,0.72,1.2,1.21,7.24,-22.91,-0.93,-0.62
"Buvuma District","ITN4",1.64,0.6,1.3,1.31,39.07,-67.38,22.81,23.53
"Buyende District","ITN2",1.14,1.03,1.09,1.09,12.62,2.75,8.49,8.22
"Buyende District","ITN3",1.26,0.95,1.02,1.01,20.67,4.88,14.24,13.81
"Buyende District","ITN4",1.23,0.91,1.09,1.08,18.84,-9.46,8.41,7.67
"Dokolo District","ITN2",4.62,1.02,1.92,2.65,78.36,1.75,47.81,62.2
"Dokolo District","ITN3",1.19,0.78,0.91,0.98,15.82,-36.29,-14.99,-3.99
"Dokolo District","ITN4",1.51,0.41,0.72,0.94,33.56,-142.53,-39.45,-6.44
"Gomba District","ITN2",1.46,1.22,1.34,1.36,31.68,18.33,25.21,26.38
"Gomba District","ITN3",1.47,0.91,1.04,1.06,31.83,18.46,25.35,26.52
"Gomba District","ITN4",1.22,0.87,1.04,1.07,18.15,-14.78,3.46,6.28
"Gulu City","ITN2",1,1,1,1,-0.02,0.02,0,0
"Gulu City","ITN3",1.05,0.66,0.91,0.98,4.51,-3.23,-0.79,-0.21
"Gulu City","ITN4",1.74,0.5,0.87,0.97,42.67,-102.02,-14.67,-3.59
"Gulu District","ITN2",1.58,1.22,1.39,1.4,36.82,17.92,28.09,28.41
"Gulu District","ITN3",1.24,0.93,1.11,1.12,19.3,-0.23,10.12,10.44
"Gulu District","ITN4",1.52,0.88,1.18,1.2,34.09,-13.03,15.58,16.33
"Hoima City","ITN2",1,1,1,1,-0.01,0.01,0,0
"Hoima City","ITN3",1.02,0.82,1.05,1.05,2.11,-1.71,0.49,0.44
"Hoima City","ITN4",1.39,0.7,1.09,1.08,28.05,-41.98,8.11,7.35
"Hoima District","ITN2",1.42,1.22,1.33,1.34,29.44,18.1,24.59,25.18
"Hoima District","ITN3",1.29,1.16,1.29,1.31,22.73,9.96,17.27,17.94
"Hoima District","ITN4",1.77,1.3,1.55,1.58,43.49,23.12,35.56,36.59
"Ibanda District","ITN2",1.45,1.16,1.34,1.31,31.22,13.6,25.14,23.87
"Ibanda District","ITN3",1.14,1.01,1.16,1.14,12.33,-5.25,6.1,4.82
"Ibanda District","ITN4",1.6,1.03,1.37,1.33,37.51,2.6,27.08,24.71
"Iganga District","ITN2",1.17,1.02,1.13,1.12,14.73,2.36,11.49,10.65
"Iganga District","ITN3",1.02,1.04,1.17,1.15,1.5,-9.62,-1.45,-2.21
"Iganga District","ITN4",1.51,1.12,1.4,1.37,33.91,10.86,28.6,27.16
"Isingiro District","ITN2",1.63,0.9,1.55,1.39,38.8,-11.64,35.51,28.21
"Isingiro District","ITN3",1.45,0.98,1.07,1.05,31.13,-15.56,27.96,21.02
"Isingiro District","ITN4",2.09,0.73,1.94,1.65,52.19,-36.86,48.47,39.54
"Jinja District","ITN2",1.13,0.94,1.05,1.04,11.14,-6.13,5.01,4.23
"Jinja District","ITN3",1.23,0.92,1.06,1.05,18.63,-11.24,8.94,7.64
"Jinja District","ITN4",1.39,0.8,1.16,1.13,28.28,-25.37,13.48,11.31
"Kaabong District","ITN2",1.12,0.73,1,1,10.5,-36.31,-0.28,-0.42
"Kaabong District","ITN3",1.35,0.59,1.71,1.7,25.92,-35.16,12.8,12.62
"Kaabong District","ITN4",3.42,0.39,2.34,2.33,70.8,-159.35,57.24,57
"Kabale District","ITN2",1.42,1.01,1.12,1.19,29.51,0.85,10.41,15.88
"Kabale District","ITN3",1.72,1.22,1.41,1.53,41.97,10.75,21.8,27.82
