"district","campaign","distribution_start","distribution_end","distribution_date","coverage","mean_date","month_count","parent","location_id","latitude","longitude","level","path_to_top_parent","authority","emonc","emonc_unsupported_and_cross_cutting","facility_level","operational_status","ownership","region_name","district_name","subcounty_name"
"Kyotera District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"IEU0FjDAhBP","REJuxCmTwXG",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,REJuxCmTwXG",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Kyotera District",NA
"Lamwo District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"SUvODYOcaVf","xy0M4HhjXtD",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,xy0M4HhjXtD",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Lamwo District",NA
"Lira District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"DWPnYhoqza0","Lj8t70RYnEt",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,Lj8t70RYnEt",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Lira District",NA
"Luuka District","2020_2021",2021-03-14,2021-03-26,"2021-03","",2021-03-20,74,"Wd1lV9Qdj4o","hn1AlYtF1Pu",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,hn1AlYtF1Pu",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Luuka District",NA
"Luwero District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"Dl9WvtvDs5V","tr9XWtYsL5P",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,tr9XWtYsL5P",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Luwero District",NA
"Lwengo District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"IEU0FjDAhBP","aqpd0Y9eXZ2",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Lwengo District",NA
"Lyantonde District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"IEU0FjDAhBP","aPRNSGUR3vk",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aPRNSGUR3vk",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Lyantonde District",NA
"Madi-Okollo District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"BD3XaQ7cQAp","bLoH4VbxCGI",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,bLoH4VbxCGI",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Madi-Okollo District",NA
"Manafwa District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"Dt6qdenPX1E","JIZDvNlIhXS",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,JIZDvNlIhXS",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Manafwa District",NA
"Maracha District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"BD3XaQ7cQAp","WyR8Eetj7Uw",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,WyR8Eetj7Uw",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Maracha District",NA
"Masaka District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"IEU0FjDAhBP","bIONCoCnt3Q",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Masaka District",NA
"Masindi District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"yx0ieyZNF0l","xr8EMirOASp",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,xr8EMirOASp",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Masindi District",NA
"Mayuge District","2020_2021",2021-03-14,2021-03-26,"2021-03","",2021-03-20,74,"Wd1lV9Qdj4o","mv4gKtY0qW8",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,mv4gKtY0qW8",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Mayuge District",NA
"Mbale District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"Dt6qdenPX1E","yuo5ielNL7W",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,yuo5ielNL7W",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Mbale District",NA
"Mbarara District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"F1o6qBSx783","auswb7JO9wY",NA,NA,3,"akV6429SUqu,F1o6qBSx783,auswb7JO9wY",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Mbarara District",NA
"Mitooma District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"F1o6qBSx783","FLygHiUd2UW",NA,NA,3,"akV6429SUqu,F1o6qBSx783,FLygHiUd2UW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Mitooma District",NA
"Mityana District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"Dl9WvtvDs5V","Q7PaNIbyZII",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,Q7PaNIbyZII",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Mityana District",NA
"Moroto District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"jdlbNUwJiKX","A9kRCvmn6Co",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,A9kRCvmn6Co",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Moroto District",NA
"Moyo District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"BD3XaQ7cQAp","W0kQBddyGyh",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,W0kQBddyGyh",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Moyo District",NA
"Mpigi District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"IEU0FjDAhBP","YMMexeHFUay",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,YMMexeHFUay",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Mpigi District",NA
"Mubende District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"Dl9WvtvDs5V","lzWuB6bCQeV",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,lzWuB6bCQeV",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Mubende District",NA
"Mukono District","2020_2021",2021-03-14,2021-03-26,"2021-03","",2021-03-20,74,"Dl9WvtvDs5V","a0DfYpC2Rwl",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,a0DfYpC2Rwl",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Mukono District",NA
"Nabilatuk District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"jdlbNUwJiKX","mOXva2xiwQv",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,mOXva2xiwQv",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Nabilatuk District",NA
"Nakapiripirit District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"jdlbNUwJiKX","VuHCApXcMTm",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,VuHCApXcMTm",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Nakapiripirit District",NA
"Nakaseke District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"Dl9WvtvDs5V","aSbgVKaeCP0",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,aSbgVKaeCP0",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Nakaseke District",NA
"Nakasongola District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"Dl9WvtvDs5V","aUcYGQCK9ub",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,aUcYGQCK9ub",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Nakasongola District",NA
"Namayingo District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"Wd1lV9Qdj4o","Ut0ysYGEipO",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,Ut0ysYGEipO",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Namayingo District",NA
"Namisindwa District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"Dt6qdenPX1E","TGzZPOmbgn8",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,TGzZPOmbgn8",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Namisindwa District",NA
"Namutumba District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"Wd1lV9Qdj4o","esIUe2tQAtL",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,esIUe2tQAtL",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Namutumba District",NA
"Napak District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"jdlbNUwJiKX","EDhGji3EteB",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,EDhGji3EteB",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Napak District",NA
"Nebbi District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"BD3XaQ7cQAp","Xjc0LDFa5gW",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,Xjc0LDFa5gW",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Nebbi District",NA
"Ngora District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"r0GhWtmPHDj","aj4hsYK3dVm",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,aj4hsYK3dVm",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Ngora District",NA
"Ntoroko District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"JZhJ50nOirX","z8D9ER36EKN",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,z8D9ER36EKN",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Ntoroko District",NA
"Ntungamo District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"F1o6qBSx783","hAoe9dhZh9V",NA,NA,3,"akV6429SUqu,F1o6qBSx783,hAoe9dhZh9V",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Ntungamo District",NA
"Nwoya District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"SUvODYOcaVf","zNgVoDVPYgD",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Nwoya District",NA
"Obongi District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"BD3XaQ7cQAp","uTMUclQ5bi6",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,uTMUclQ5bi6",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Obongi District",NA
"Omoro District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"SUvODYOcaVf","S5fvUXgY54J",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,S5fvUXgY54J",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Omoro District",NA
"Otuke District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"DWPnYhoqza0","aXjub1BYn1y",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,aXjub1BYn1y",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Otuke District",NA
"Oyam District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"DWPnYhoqza0","xpIFdCMhVHG",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Oyam District",NA
"Pader District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"SUvODYOcaVf","aBrjuZk0W31",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Pader District",NA
"Pakwach District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"BD3XaQ7cQAp","uqUyTPvQKII",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,uqUyTPvQKII",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Pakwach District",NA
"Pallisa District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"QBPg7KKCeoA","WiVj4bEhX4P",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,WiVj4bEhX4P",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Pallisa District",NA
"Rakai District","2020_2021",2020-10-25,2020-11-07,"2020-10","",2020-10-31,69,"IEU0FjDAhBP","P8iz90eiIrW",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,P8iz90eiIrW",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Rakai District",NA
"Rubanda District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"G0rlphd2tcD","wZrfAgC3WrU",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,wZrfAgC3WrU",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Rubanda District",NA
"Rubirizi District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"F1o6qBSx783","fS71jg1WYPk",NA,NA,3,"akV6429SUqu,F1o6qBSx783,fS71jg1WYPk",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Rubirizi District",NA
"Rukiga District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"G0rlphd2tcD","fsP0Wxie1UW",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,fsP0Wxie1UW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Rukiga District",NA
"Rukungiri District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"G0rlphd2tcD","tugqr4dY6wq",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,tugqr4dY6wq",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Rukungiri District",NA
"Rwampara District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"F1o6qBSx783","tsugXWRXwGu",NA,NA,3,"akV6429SUqu,F1o6qBSx783,tsugXWRXwGu",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Rwampara District",NA
"Sembabule District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"IEU0FjDAhBP","j7AQsnEYmvi",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,j7AQsnEYmvi",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Sembabule District",NA
"Serere District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"r0GhWtmPHDj","zJfpujxC1kD",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,zJfpujxC1kD",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Serere District",NA
"Sheema District","2020_2021",2020-08-09,2020-08-21,"2020-08","",2020-08-15,67,"F1o6qBSx783","xAJgEKKAeRA",NA,NA,3,"akV6429SUqu,F1o6qBSx783,xAJgEKKAeRA",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Sheema District",NA
"Sironko District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"Dt6qdenPX1E","wJ2a6YKDFZW",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,wJ2a6YKDFZW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Sironko District",NA
"Soroti District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"r0GhWtmPHDj","srmGjHrpVE5",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,srmGjHrpVE5",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Soroti District",NA
"Tororo District","2020_2021",2020-07-11,2020-07-24,"2020-07","",2020-07-17,66,"QBPg7KKCeoA","KhT80mlwJ3Y",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Tororo District",NA
"Wakiso District","2020_2021",2021-01-08,2021-01-12,"2021-01","",2021-01-10,72,"IEU0FjDAhBP","aIahLLmtvgT",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Wakiso District",NA
"Yumbe District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"BD3XaQ7cQAp","W1JM2Qdhcv3",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,W1JM2Qdhcv3",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Yumbe District",NA
"Zombo District","2020_2021",2020-12-06,2020-12-19,"2020-12","",2020-12-12,71,"BD3XaQ7cQAp","A4aGXEfdb8P",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,A4aGXEfdb8P",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Zombo District",NA
