"","X","district_name","dir","stem","city","in_region"
"95",95,"Mityana District","mityana_district","mityana",0,"North Central"
"96",96,"Moroto District","moroto_district","moroto",0,"Karamoja"
"97",97,"Moyo District","moyo_district","moyo",0,"West Nile"
"98",98,"Mpigi District","mpigi_district","mpigi",0,"South Central"
"99",99,"Mubende District","mubende_district","mubende",0,"North Central"
"100",100,"Mukono District","mukono_district","mukono",0,"North Central"
"101",101,"Nabilatuk District","nabilatuk_district","nabilatuk",0,"Karamoja"
"102",102,"Nakapiripirit District","nakapiripirit_district","nakapiripirit",0,"Karamoja"
"103",103,"Nakaseke District","nakaseke_district","nakaseke",0,"North Central"
"104",104,"Nakasongola District","nakasongola_district","nakasongola",0,"North Central"
"105",105,"Namayingo District","namayingo_district","namayingo",0,"Busoga"
"106",106,"Namisindwa District","namisindwa_district","namisindwa",0,"Bugisu"
"107",107,"Namutumba District","namutumba_district","namutumba",0,"Busoga"
"108",108,"Napak District","napak_district","napak",0,"Karamoja"
"109",109,"Nebbi District","nebbi_district","nebbi",0,"West Nile"
"110",110,"Ngora District","ngora_district","ngora",0,"Teso"
"111",111,"Ntoroko District","ntoroko_district","ntoroko",0,"Tooro"
"112",112,"Ntungamo District","ntungamo_district","ntungamo",0,"Ankole"
"113",113,"Nwoya District","nwoya_district","nwoya",0,"Acholi"
"114",114,"Obongi District","obongi_district","obongi",0,"West Nile"
"115",115,"Omoro District","omoro_district","omoro",0,"Acholi"
"116",116,"Otuke District","otuke_district","otuke",0,"Lango"
"117",117,"Oyam District","oyam_district","oyam",0,"Lango"
"118",118,"Pader District","pader_district","pader",0,"Acholi"
"119",119,"Pakwach District","pakwach_district","pakwach",0,"West Nile"
"120",120,"Pallisa District","pallisa_district","pallisa",0,"Bukedi"
"121",121,"Rakai District","rakai_district","rakai",0,"South Central"
"122",122,"Rubanda District","rubanda_district","rubanda",0,"Kigezi"
"123",123,"Rubirizi District","rubirizi_district","rubirizi",0,"Ankole"
"124",124,"Rukiga District","rukiga_district","rukiga",0,"Kigezi"
"125",125,"Rukungiri District","rukungiri_district","rukungiri",0,"Kigezi"
"126",126,"Rwampara District","rwampara_district","rwampara",0,"Ankole"
"127",127,"Sembabule District","sembabule_district","sembabule",0,"South Central"
"128",128,"Serere District","serere_district","serere",0,"Teso"
"129",129,"Sheema District","sheema_district","sheema",0,"Ankole"
"130",130,"Sironko District","sironko_district","sironko",0,"Bugisu"
"131",131,"Soroti District","soroti_district","soroti",0,"Teso"
"132",132,"Terego District","terego_district","terego",0,"West Nile"
"133",133,"Tororo District","tororo_district","tororo",0,"Bukedi"
"134",134,"Wakiso District","wakiso_district","wakiso",0,"South Central"
"135",135,"Yumbe District","yumbe_district","yumbe",0,"West Nile"
"136",136,"Zombo District","zombo_district","zombo",0,"West Nile"
"137",137,"Arua City","arua_city","arua_city",1,"West Nile"
"138",138,"Fort Portal City","fortportal_city","fortportal_city",1,"Tooro"
"139",139,"Gulu City","gulu_city","gulu_city",1,"Acholi"
"140",140,"Hoima City","hoima_city","hoima_city",1,"Bunyoro"
"141",141,"Jinja City","jinja_city","jinja_city",1,"Busoga"
"142",142,"Lira City","lira_city","lira_city",1,"Lango"
"143",143,"Masaka City","masaka_city","masaka_city",1,"South Central"
"144",144,"Mbale City","mbale_city","mbale_city",1,"Bugisu"
"145",145,"Mbarara City","mbarara_city","mbarara_city",1,"Ankole"
"146",146,"Soroti City","soroti_city","soroti_city",1,"Teso"
