"location","spray_start","spray_end","formulation","year","household_coverage","population_coverage","funder","source","source_2","spray_date","month_count","location_id","region_name","path_to_top_parent","form_short","district"
"Nwoya District",2010-10-01,2010-11-20,"DDT",2010,NA,NA,"PMI","Sheet from Rek + AI","","2010-10",-51,"zNgVoDVPYgD","Acholi","akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD",NA,"Nwoya District"
"Nwoya District",2011-04-01,2011-05-20,"pyrethroid",2011,NA,NA,"PMI","Sheet from Rek + AI","","2011-04",-45,"zNgVoDVPYgD","Acholi","akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD",NA,"Nwoya District"
"Nwoya District",2011-10-01,2011-11-20,"pyrethroid",2011,NA,NA,"PMI","Sheet from Rek + AI","","2011-10",-39,"zNgVoDVPYgD","Acholi","akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD",NA,"Nwoya District"
"Nwoya District",2012-04-01,2012-05-20,"pyrethroid",2012,NA,NA,"PMI","Sheet from Rek + AI","","2012-04",-33,"zNgVoDVPYgD","Acholi","akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD",NA,"Nwoya District"
"Nwoya District",2012-10-01,2012-11-20,"pyrethroid",2012,NA,NA,"PMI","Sheet from Rek + AI","","2012-10",-27,"zNgVoDVPYgD","Acholi","akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD",NA,"Nwoya District"
"Nwoya District",2013-04-01,2013-05-20,"Bendiocarb",2013,NA,NA,"PMI","Sheet from Rek + AI","","2013-04",-21,"zNgVoDVPYgD","Acholi","akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD","bendio","Nwoya District"
"Nwoya District",2013-10-01,2013-11-20,"Bendiocarb",2013,NA,NA,"PMI","Sheet from Rek + AI","","2013-10",-15,"zNgVoDVPYgD","Acholi","akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD","bendio","Nwoya District"
"Nwoya District",2014-04-01,2014-05-20,"Bendiocarb",2014,NA,NA,"PMI","Sheet from Rek + AI","","2014-04",-9,"zNgVoDVPYgD","Acholi","akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD","bendio","Nwoya District"
"Nwoya District",2014-10-01,2014-11-20,"Bendiocarb",2014,NA,NA,"PMI","Sheet from Rek + AI","","2014-10",-3,"zNgVoDVPYgD","Acholi","akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD","bendio","Nwoya District"
"Pader District",2010-12-01,2011-01-01,"Bendiocarb",2010,99.8,NA,"","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3752748/","","2010-12",-49,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","bendio","Pader District"
"Pader District",2011-04-01,2011-05-20,"Bendiocarb",2011,NA,NA,"PMI","Sheet from Rek + AI","","2011-04",-45,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","bendio","Pader District"
"Pader District",2011-10-01,2011-11-20,"Bendiocarb",2011,NA,NA,"PMI","Sheet from Rek + AI","","2011-10",-39,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","bendio","Pader District"
